rank,config,train_sharpe,val_sharpe,gap,stopped_epoch,time_s
187,"Deep h=16,8 do=0.4 wd=0.1 lr=0.01",3.5672,2.535,1.0322,131,0.23
188,"Deep h=16,4 do=0.4 wd=0.3 lr=0.02",2.7428,2.5346,0.2082,92,0.18
189,Shallow h=16 do=0.7 wd=0.15,3.5715,2.5327,1.0389,167,0.18
190,"Deep h=16,8 do=0.5 wd=0.1 lr=0.01",3.7202,2.5326,1.1876,250,0.44
191,"Deep h=20,10 do=0.5 wd=0.1 lr=0.02",2.67,2.5141,0.1558,91,0.19
192,"Deep h=16,8 do=0.6 wd=0.2 lr=0.02",2.6784,2.5126,0.1658,83,0.15
193,"Deep h=12,6 do=0.5 wd=0.15 lr=0.02",2.7736,2.5049,0.2687,81,0.15
194,"Deep h=16,8 do=0.3 wd=0.2 lr=0.02",2.9763,2.5041,0.4722,91,0.16
195,"Deep h=16,4 do=0.5 wd=0.3 lr=0.02",2.6137,2.504,0.1097,81,0.16
196,Bottle n=4 e=16 do=0.4 wd=0.05,3.6332,2.4999,1.1333,187,0.48
197,Shallow h=16 do=0.6 wd=0.15,4.2693,2.4987,1.7706,203,0.23
198,"Deep h=12,6 do=0.4 wd=0.15 lr=0.005",2.7516,2.4973,0.2543,81,0.14
199,Linear wd=0.05 lr=0.15,3.0512,2.4943,0.5569,97,0.04
200,"Deep h=8,4 do=0.6 wd=0.15 lr=0.005",2.4602,2.4829,-0.0227,106,0.2
201,Shallow h=16 do=0.5 wd=0.1,4.6508,2.4788,2.172,201,0.22
202,"Deep h=20,10 do=0.4 wd=0.15 lr=0.01",2.7733,2.4745,0.2988,82,0.17
203,Shallow h=8 do=0.5 wd=0.2,4.2557,2.4545,1.8012,246,0.25
204,Linear wd=0.2 lr=0.15,2.9168,2.4404,0.4764,94,0.04
205,"Deep h=16,4 do=0.3 wd=0.3 lr=0.005",2.7003,2.4241,0.2762,81,0.15
206,"Deep h=20,10 do=0.5 wd=0.1 lr=0.005",4.4524,2.4211,2.0313,299,0.63
207,Shallow h=16 do=0.7 wd=0.2,3.3116,2.419,0.8925,168,0.18
208,"Deep h=16,4 do=0.3 wd=0.1 lr=0.02",3.9244,2.4139,1.5105,225,0.42
209,"Deep h=20,10 do=0.3 wd=0.1 lr=0.02",4.2989,2.3974,1.9014,151,0.31
